nombre,nif,tipo,n_concesiones,importe_total_eur,ultima_concesion,territorio,ultima_convocatoria,temas
"ASOC DAÑO CEREBRAL ADQUIRIDO GUIPUZCOA","G20523635","Asociación/Fundación","1","375","2026-05-08","ZUMARRAGA","Bases específicas de concesión de subvenciones a asociacione","igualdad"
"ASOC DE ENTIDADES REPRESENTANTIVAS DE ECONOMIA SOCIAL","G56983182","Asociación/Fundación","1","50000","2026-05-07","CASTILLA Y LEÓN","Acuerdo de 30 de abril de 2026, de la Junta de Castilla y Le","economía social"
"ASOCIACION DE MUJERES AURRERAKA","G01055185","Asociación/Fundación","1","1960","2026-05-07","AMURRIO","SUBVENCIONES NOMINATIVAS ÁREA DE IGUALDAD Y BIENESTAR SOCIAL","igualdad"
"FUNDACION ETEA PARA EL DESARROLLO Y LA COOPERACIÓN","G14614937","Asociación/Fundación","1","30000","2026-05-04","CÓRDOBA","CONVENIO DE COLABORACIÓN CON LA FUNDACIÓN ETEA PARA EL DESAR","voluntariado"
"ASSOCIACIO ALBA D''AJUDA I REINSERCIO DEL TOXICOMAN","G58377839","Asociación/Fundación","1","10400","2026-04-30","TERRASSA","Decreto número 35762/2024, del 2 de diciembre, de la Tenenci","acción social"
"FUNDACION ENTRECULTURAS FE Y ALEGRIA","G82409020","Asociación/Fundación","2","39232","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social · cooperación al desarrollo"
"FUNDACION ECCA SOCIAL","G72405277","Asociación/Fundación","2","18605","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social · voluntariado"
"ASOCIACION MUJERES EN ZONA DE CONFLICTO","G14422075","Asociación/Fundación","2","11458","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social · voluntariado"
"ASOCIACION TELEFONO DE LA ESPERANZA","G85590685","Asociación/Fundación","2","10556","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social · voluntariado"
"ASOC MESA DEL TERCER SECTOR","G74393711","Asociación/Fundación","1","54325","2026-04-29","PRINCIPADO DE ASTURIAS","Resolución de la Consejería de Derechos Sociales y Bienestar","tercer sector"
"ASOCIACION REGIONAL PARQUINSON EXTREMADURA","G06366371","Asociación/Fundación","1","30000","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION MAGDALENA MORICHE","G06399554","Asociación/Fundación","1","27835","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ACOPARK","G06748305","Asociación/Fundación","1","27000","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION PRIMERA FILA","G06573653","Asociación/Fundación","1","15207","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION COLOMBINE, POR EL DESARROLLO DE LA CULTURA, IGUALDAD E INCLUSION","G09667650","Asociación/Fundación","1","15036","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION ALREX BADAJOZ","G06683130","Asociación/Fundación","1","14865","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"APNASUREX","G06590657","Asociación/Fundación","1","14865","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FEDERACION DE ASOCIACION DE PERSONAS CON  DIABETES DE EXTREMADURA","G10197994","Asociación/Fundación","1","14865","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACIÓN ARCANGEL SAN MIGUEL","G06302939","Asociación/Fundación","1","14695","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DIVERSIDAD EN MOVIMIENTO","G56390354","Asociación/Fundación","1","14524","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION NACIONAL DE EMPRENDEDORES DEL MEDIO RURAL (ANEMUR)","G10450955","Asociación/Fundación","1","14524","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION NUEVA VIDA","G06119291","Asociación/Fundación","1","14353","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PADRES NIÑOS AUTISTAS BADAJOZ ""APNABA""","G06135073","Asociación/Fundación","1","14353","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DOMBENITENSE DE AYUDA AL TOXICOMANO","G06173413","Asociación/Fundación","1","14284","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"PLENA INCLUSION LLERENA","G06018394","Asociación/Fundación","1","14267","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION EXISTIMOS","G06733877","Asociación/Fundación","1","14182","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"APROSUBA-2","G06014229","Asociación/Fundación","1","14030","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION JUVENIL MOZZANCA","G06640346","Asociación/Fundación","1","14011","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION CULTURAL RUY LOPEZ","G06464259","Asociación/Fundación","1","14011","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION ALUCOD","G06651020","Asociación/Fundación","1","14011","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION MENSAJEROS DE LA PAZ EXTREMADURA","G10257731","Asociación/Fundación","1","14011","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"APROSUBA 3 PLENA INCLUSION","G06010177","Asociación/Fundación","1","14011","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION IMPARA - CET","G06693683","Asociación/Fundación","1","13840","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE CARIDAD SAN VICENTE PAUL","G28679710","Asociación/Fundación","1","13840","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION PEPE REYES","G06621213","Asociación/Fundación","1","13840","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE ENFERMOS DE HUNTINGTON","G06407100","Asociación/Fundación","1","13840","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION SORAPAN DE RIEROS","G06319891","Asociación/Fundación","1","13752","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION SOCIAL Y CULTURAL OZANAM","G06029565","Asociación/Fundación","1","13669","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION PARKINSON CAMPIÑA SUR","G23912264","Asociación/Fundación","1","13669","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION HOSPITAL Y SANTA CASA DE MISERICORDIA","G06016653","Asociación/Fundación","1","13669","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ESCUELA DE JOVENES PARA EDUCAR POR LA I. LA SOMBRILLA","G06602981","Asociación/Fundación","1","13669","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE OCIO Y TIEMPO LIBRE MINERVA","G06673669","Asociación/Fundación","1","13498","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"CARITAS LLERENA","R0600048C","Entidad religiosa/social","1","13498","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOC PARA LA ATENCION A DEPENDENCIAS Y ADICCIONES","G06184782","Asociación/Fundación","1","13498","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DISEPILEX DISCAPACIDAD Y EPILEPSIA DE EXTREMADURA","G56203722","Asociación/Fundación","1","13498","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"INSTITUTO SECULAR HOGAR DE NAZARET","R0600025A","Entidad religiosa/social","1","13438","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE MADRES CONTRA LA DROGA, AMADROVI","G06146179","Asociación/Fundación","1","13437","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION JOVENES EMPRENDEDORES DEL MEDIO RURAL","G10459469","Asociación/Fundación","1","13328","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE MUJERES PROGRESISTAS FELISA TANCO","G06273775","Asociación/Fundación","1","13328","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"CARITAS DIOCESANA DE PLASENCIA","R1000105E","Entidad religiosa/social","1","13328","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION PARA LA PROMOCION Y GESTION DE SERVICIOS SOCIALES GENERALES Y ESPECIALIZADOS PROGESTION","G79437349","Asociación/Fundación","1","13200","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION NOS MOVEMOS CONTIGO","G01812288","Asociación/Fundación","1","13157","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION GRUPO JOVEN","G06336267","Asociación/Fundación","1","13157","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE AFECTADOS DE FIBROMIALGIA DE MONTIJO Y COMARCA","G06662944","Asociación/Fundación","1","12988","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION LUPUS EXTREMADURA","G56352958","Asociación/Fundación","1","12986","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION NUR SAHARAUI","G10448454","Asociación/Fundación","1","12986","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION APATYRS","G06120596","Asociación/Fundación","1","12915","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"PLENA INCLUSION AZUAGA","G06016927","Asociación/Fundación","1","12901","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION PRO-DISC. PSIQUICOS DE JEREZ DE LOS CABALLEROS  APROSUBA 5","G06020697","Asociación/Fundación","1","12830","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION AMAT","G10153781","Asociación/Fundación","1","12815","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"PLENA INCLUSION MONTIJO","G06013809","Asociación/Fundación","1","12752","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"AFAD RECUERDA EXTREMADURA","G06322416","Asociación/Fundación","1","12672","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"COCEMFE BADAJOZ","G06126916","Asociación/Fundación","1","12644","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOC. DE OCIO Y TIEMPO LIBRE PARA PERSONAS CON DISCAPACIDAD (ASDIVI VILLANUEVA S.)","G06585764","Asociación/Fundación","1","12541","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"DOWN DON BENITO-VVA. DE LA SERENA- ASOC. SINDROME DOWN","G06623631","Asociación/Fundación","1","12498","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE DISCAPACITADOS Y PERSONAS EN RIESGO DE EXCLUSION SOCIAL","G06540272","Asociación/Fundación","1","12473","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"COMPAÑIA HIJAS DE LA CARIDAD DE SAN VICENTE DE PAUL","R0600353G","Entidad religiosa/social","1","12473","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ARCOIRIS CULTURAL ISOTICA","G56860760","Asociación/Fundación","1","12332","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PERSONAS CON DIVERSIDAD FUNCIONAL DE QUINTANA DE LA SERENA","G06564918","Asociación/Fundación","1","12302","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION SAGUARO INCLUSION","G06730949","Asociación/Fundación","1","12300","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION PROVIDA BADAJOZ","G06126296","Asociación/Fundación","1","12217","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"MOVIMIENTO DE MUJERES MIGRANTE DE EXTREMADURA","G09877952","Asociación/Fundación","1","12129","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"PLENA INCLUSION DON BENITO","G06008833","Asociación/Fundación","1","12087","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACIÓN PRO DISCAPACITADOS PSÍQUICOS LA LUZ","G06206734","Asociación/Fundación","1","11950","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PADRES DE NIÑOS CON AUTISMO APNADOBE","G06681001","Asociación/Fundación","1","11851","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION EUEXIA RURAL","G06725477","Asociación/Fundación","1","11790","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION ROMIS CALIS CAMELAN NAQUERAR","G06265953","Asociación/Fundación","1","11790","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PERSONAS EN RIESGO DE EXCLUSION SOCIAL","G06723365","Asociación/Fundación","1","11619","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"DIVERSITY ASOCIACION PARA LA INTEGRACION DE PERSONAS TEA TDAH Y TEL","G44961688","Asociación/Fundación","1","11619","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE ZOOTERAPIA DE EXTREMADURA","G10246718","Asociación/Fundación","1","11607","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ADMO ASOCIACION PARA LA DONACION DE MEDULA OSEA DE EXTREMADURA","G06260459","Asociación/Fundación","1","11452","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACIÓN VOCES DE INCLUSIÓN SOLIDARIDAD Y PROGRESO SOCIAL","G75589978","Asociación/Fundación","1","11448","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"CENTRO RURAL JOVEN VIDA (CERUJOVI)","G06346993","Asociación/Fundación","1","11380","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION ANTHEA","G75852418","Asociación/Fundación","1","11380","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"PLENA INCLUSION VILLAFRANCA DE LOS BARROS","G06194492","Asociación/Fundación","1","11380","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"RED EUROPEA DE LUCHA CONTRA LA POBREZA Y EXCLUSION SOCIAL DE EXTREAMADURA EAPN","G10384840","Asociación/Fundación","1","11277","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION AFANGU","G06735468","Asociación/Fundación","1","11274","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"FUNDACION ADATEX","G06591960","Asociación/Fundación","1","11249","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE ALCOHOLICOS REHABILITADOS EXTREMADURA ALREX","G06029516","Asociación/Fundación","1","11209","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DOBLE CRISTAL","G06647044","Asociación/Fundación","1","11152","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION IDEM INCLUSION","G06735070","Asociación/Fundación","1","11106","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACIÓN DE FIBROMIALGIA DE MERIDA","G06562136","Asociación/Fundación","1","11106","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE DERECHOS HUMANOS DE EXTREMADURA","G10211050","Asociación/Fundación","1","11021","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PERSONAS CON DISCAPACIDAD","G06200505","Asociación/Fundación","1","10873","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION LIMBO SOLIDARIO","G06847214","Asociación/Fundación","1","10765","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DISCAPACITADOS DE GUAREÑA","G06394563","Asociación/Fundación","1","10732","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"CLUB DEPORTIVO EL BOLICHE","G06757959","Asociación/Fundación","1","10635","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE DESARROLLO RUREX","G06654826","Asociación/Fundación","1","10581","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION MUJERES PROGRESISTAS VICTORIA KENT","G11278066","Asociación/Fundación","1","10508","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"CASA HOSPITAL DE SANTIAGO","R0600312C","Entidad religiosa/social","1","10408","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"YMCA","G28659308","Asociación/Fundación","1","10235","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"KHETANE PROMNIA FEDERACION DE ASOCIACIONES GITANAS DE EXTREMADURA","G09918822","Asociación/Fundación","1","10081","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PERSONAS SORDAS DE BADAJOZ","G06452718","Asociación/Fundación","1","9951","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION DE PERSONAS SORDAS DE MERIDA","G06113187","Asociación/Fundación","1","9934","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION ALMA CONTRA LA VIOLENCIA DE GENERO","G06670459","Asociación/Fundación","1","9910","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
"ASOCIACION EDINAMIZA","G06741177","Asociación/Fundación","1","9910","2026-04-29","DIPUTACIÓN PROV. DE BADAJOZ","CONVOCATORIA DE SUBVENCIONES DE LA  DIPUTACIÓN DE BADAJOZ DE","acción social"
